Period,ETF,Weight_Type,Tickers,Periods,A,B,RÂ²,Systematic
60 Days Daily,ARKK,Equal Weighted,45,28,0.2853621813694963,0.28243246682691764,0.9813258143896341,0.29108816065564863
60 Days Daily,ARKK,MarketCap Weighted,45,28,0.30192229447446894,0.2804898987463702,0.9378075238212146,0.29108816065564863
60 Days Daily,ARKF,Equal Weighted,42,28,0.27282543690674216,0.2194989149710473,0.9846034419506864,0.2804419035723871
60 Days Daily,ARKF,MarketCap Weighted,42,28,0.28631990191711776,0.21219623140294386,0.9713904910055985,0.2804419035723871
60 Days Daily,ARKG,Equal Weighted,34,28,0.310859900746609,0.2764183623939921,0.9870064321117317,0.320046235123653
60 Days Daily,ARKG,MarketCap Weighted,34,28,0.3551596465328979,0.23810909595685525,0.9730667409354719,0.320046235123653
60 Days Daily,ARKQ,Equal Weighted,37,28,0.33041367684681416,0.21953215906923734,0.9961689529574587,0.3412331474194566
60 Days Daily,ARKQ,MarketCap Weighted,37,28,0.3655123758399008,0.2164401912280868,0.9424703765871534,0.3412331474194566
60 Days Daily,ARKW,Equal Weighted,47,28,0.28444161608280233,0.24779049733910088,0.9827886575203237,0.29009168746794833
60 Days Daily,ARKW,MarketCap Weighted,47,28,0.28403931781044567,0.26139270532715325,0.9677007762479137,0.29009168746794833
60 Days Daily,ARKX,Equal Weighted,34,28,0.26830479408167757,0.21549290782591626,0.9818861988655527,0.27596231565945045
60 Days Daily,ARKX,MarketCap Weighted,34,28,0.3749323281710072,0.13140708264446607,0.8711942032407437,0.27596231565945045
60 Days Weekly,ARKK,Equal Weighted,45,7,0.4106664752764749,0.1401655417824401,0.9962473260559358,0.4524197689529673
60 Days Weekly,ARKK,MarketCap Weighted,45,7,0.4050741134980623,0.1860691931179807,0.9309301967665923,0.4524197689529673
60 Days Weekly,ARKF,Equal Weighted,42,7,0.4106339363539678,0.08909770503485505,0.993724658297821,0.45151480530434923
60 Days Weekly,ARKF,MarketCap Weighted,42,7,0.4181914757918458,0.07788394857893571,0.9886999735993632,0.45151480530434923
60 Days Weekly,ARKG,Equal Weighted,34,7,0.3657420020055594,0.20137736604029108,0.9944218277179282,0.4047956210731374
60 Days Weekly,ARKG,MarketCap Weighted,34,7,0.40532072195824026,0.18255181497297057,0.9903775946992825,0.4047956210731374
60 Days Weekly,ARKQ,Equal Weighted,37,7,0.39308765188750805,0.1695131884954506,0.9951824874391964,0.4343898147390182
60 Days Weekly,ARKQ,MarketCap Weighted,37,7,0.3953902734161764,0.18257563556613987,0.9926447758460285,0.4343898147390182
60 Days Weekly,ARKW,Equal Weighted,47,7,0.4130038407414471,0.10243452181976573,0.995268379226922,0.4549998436179968
60 Days Weekly,ARKW,MarketCap Weighted,47,7,0.40031569313761967,0.12535169299446097,0.9745726952677403,0.4549998436179968
60 Days Weekly,ARKX,Equal Weighted,34,7,0.32544897391701577,0.14132657199542717,0.9952036906311413,0.3604032737586784
60 Days Weekly,ARKX,MarketCap Weighted,34,7,0.42825954989993464,0.04690451966853531,0.7523943488899303,0.3604032737586784
120 Days Daily,ARKK,Equal Weighted,45,70,0.2944508826409988,0.34562267736970503,0.9632785347066363,0.29394778770306185
120 Days Daily,ARKK,MarketCap Weighted,45,70,0.3178032188441214,0.33699837238794356,0.9735895751515207,0.29394778770306185
120 Days Daily,ARKF,Equal Weighted,42,70,0.28540180046599994,0.26204209807247547,0.9881306302191573,0.2901920241934058
120 Days Daily,ARKF,MarketCap Weighted,42,70,0.2988561287531133,0.2477625614222034,0.9865422073374369,0.2901920241934058
120 Days Daily,ARKG,Equal Weighted,34,70,0.7471948876994918,0.6401848473723658,0.9115303777174195,0.7149656650816687
120 Days Daily,ARKG,MarketCap Weighted,34,70,0.37689457380329205,0.6322047780889107,0.9987726895388886,0.7149656650816687
120 Days Daily,ARKQ,Equal Weighted,37,70,0.3224691193413936,0.25765429337581686,0.986381313419925,0.32890066249754235
120 Days Daily,ARKQ,MarketCap Weighted,37,70,0.34970319277442474,0.2206424245437797,0.9792708408712417,0.32890066249754235
120 Days Daily,ARKW,Equal Weighted,47,70,0.3006879559443324,0.2956518413055709,0.9771951042985086,0.30289483454509436
120 Days Daily,ARKW,MarketCap Weighted,47,70,0.30556484032836717,0.2853368296401958,0.9780085116582157,0.30289483454509436
120 Days Daily,ARKX,Equal Weighted,34,70,0.2503839268667161,0.2213060831643164,0.9778472649268575,0.2532681279904627
120 Days Daily,ARKX,MarketCap Weighted,34,70,0.33214078441071826,0.13689872962169874,0.8610693819240721,0.2532681279904627
120 Days Weekly,ARKK,Equal Weighted,45,15,0.3770166213714347,0.264689286199416,0.9797904734100715,0.3914860439269242
120 Days Weekly,ARKK,MarketCap Weighted,45,15,0.3907937194596632,0.2620539125345092,0.9904797755694147,0.3914860439269242
120 Days Weekly,ARKF,Equal Weighted,42,15,0.3599406564807866,0.18288694451403895,0.9733319312817371,0.37395301248640805
120 Days Weekly,ARKF,MarketCap Weighted,42,15,0.379209708289749,0.16833496858005592,0.9975555570958492,0.37395301248640805
120 Days Weekly,ARKG,Equal Weighted,34,15,0.5188175415939311,0.4759551280101887,0.8551852677071248,0.5121867837014876
120 Days Weekly,ARKG,MarketCap Weighted,34,15,0.4011833694092738,0.5159594722433687,0.9961939183896383,0.5121867837014876
120 Days Weekly,ARKQ,Equal Weighted,37,15,0.38445641068001607,0.23351824827227252,0.9959101678054708,0.40554141951710015
120 Days Weekly,ARKQ,MarketCap Weighted,37,15,0.39090713259794946,0.19081168240396007,0.977967752182945,0.40554141951710015
120 Days Weekly,ARKW,Equal Weighted,47,15,0.3796632695519993,0.2411643066840149,0.9924700127396028,0.39820462935452205
120 Days Weekly,ARKW,MarketCap Weighted,47,15,0.37728738159959424,0.21607321782324979,0.9850963359567313,0.39820462935452205
120 Days Weekly,ARKX,Equal Weighted,34,15,0.31116079379829364,0.1683621699627094,0.9890376469894607,0.3242733240325139
120 Days Weekly,ARKX,MarketCap Weighted,34,15,0.4009324367555578,0.0874667415002862,0.8295266137673066,0.3242733240325139
250 Days Daily,ARKK,Equal Weighted,45,122,0.3016581079950594,0.36757306091227093,0.9667465589420395,0.3003527242430882
250 Days Daily,ARKK,MarketCap Weighted,45,122,0.3233037813653745,0.3265089338969527,0.9654427853472913,0.3003527242430882
250 Days Daily,ARKF,Equal Weighted,42,103,0.28845464748885685,0.27843965760693173,0.9627975227765144,0.2889659807432011
250 Days Daily,ARKF,MarketCap Weighted,42,103,0.2953822405734011,0.2695314902421112,0.9919185212533673,0.2889659807432011
250 Days Daily,ARKG,Equal Weighted,34,159,0.5945729492053332,0.6272022494647201,0.8359046656972955,0.548626245236531
250 Days Daily,ARKG,MarketCap Weighted,34,159,0.37565731849334727,0.6589148144240833,0.99654584711328,0.548626245236531
250 Days Daily,ARKQ,Equal Weighted,37,159,0.27920803131730676,0.28572102192875354,0.9814241905256638,0.28279272238559217
250 Days Daily,ARKQ,MarketCap Weighted,37,159,0.2999615105712866,0.25334889507503494,0.9530530097369126,0.28279272238559217
250 Days Daily,ARKW,Equal Weighted,47,122,0.2948309145071646,0.31105673308623655,0.9508929829847403,0.2914468233107866
250 Days Daily,ARKW,MarketCap Weighted,47,122,0.29420567586195007,0.30562993395503385,0.9742017884509193,0.2914468233107866
250 Days Daily,ARKX,Equal Weighted,34,159,0.21660076924513985,0.2436142775336239,0.9763283289857395,0.21928056045380917
250 Days Daily,ARKX,MarketCap Weighted,34,159,0.2826455303830753,0.19518372458408811,0.9065584121881609,0.21928056045380917
250 Days Weekly,ARKK,Equal Weighted,45,26,0.3461998816046763,0.2900430736592188,0.9626183066274662,0.3523621630916269
250 Days Weekly,ARKK,MarketCap Weighted,45,26,0.3671438981015231,0.2654925751915808,0.9808702176197829,0.3523621630916269
250 Days Weekly,ARKF,Equal Weighted,42,22,0.3387564574862741,0.22351988570959855,0.9659916109652991,0.34660980420307047
250 Days Weekly,ARKF,MarketCap Weighted,42,22,0.35904921286737007,0.17675882814272487,0.9890851318941727,0.34660980420307047
250 Days Weekly,ARKG,Equal Weighted,34,34,0.4142718296755421,0.47941459539887976,0.9309275375171121,0.40965700355521434
250 Days Weekly,ARKG,MarketCap Weighted,34,34,0.3719580613640495,0.47089545056135473,0.9973788362522705,0.40965700355521434
250 Days Weekly,ARKQ,Equal Weighted,37,34,0.3157963776938191,0.2486742829110962,0.9882250136887042,0.32424216585886056
250 Days Weekly,ARKQ,MarketCap Weighted,37,34,0.32236128416933424,0.2396160177216572,0.9730569777117145,0.32424216585886056
250 Days Weekly,ARKW,Equal Weighted,47,26,0.35134776217087177,0.23757048663880484,0.979602167424876,0.3586341056480614
250 Days Weekly,ARKW,MarketCap Weighted,47,26,0.3512453988685697,0.23731975531334115,0.9962082839868446,0.3586341056480614
250 Days Weekly,ARKX,Equal Weighted,34,34,0.2487804311027754,0.21228153943798614,0.9914805199877995,0.25638080121527507
250 Days Weekly,ARKX,MarketCap Weighted,34,34,0.32407172558416725,0.14586735663933598,0.8964364103898728,0.25638080121527507
